epoch,loss,r2,val_loss,val_r2
0,0.5492819424735785,0.3055568,0.35372753148881075,0.62807727
1,0.2059570402250312,0.7340952,0.20022566936840522,0.7909669
2,0.13193578673054546,0.82632905,0.1374544097789537,0.8568002
3,0.10075199025498557,0.86360663,0.11451704789684197,0.8810988
4,0.08161422381958654,0.8878576,0.10388109606699408,0.8976412
5,0.06938706884323727,0.9038086,0.08333963737170273,0.91525584
6,0.057573261743729016,0.9200038,0.07621182593577933,0.9252658
7,0.049755242245469226,0.93059677,0.06784556755604589,0.93518573
8,0.04502044013843009,0.9370778,0.06346554288240237,0.93984264
9,0.0424358508450919,0.941064,0.06151576035560292,0.94219977
10,0.0401251486970395,0.9443713,0.05979676884120313,0.945649
11,0.046835462240854164,0.9394413,0.06623035885184725,0.93906504
12,0.038895987652345185,0.94676167,0.057778535915590894,0.9487574
13,0.03568216081073482,0.9505693,0.05562156522385428,0.95061624
14,0.03529112144858332,0.95136124,0.05937135351874004,0.9511042
15,0.03530349124926851,0.951503,0.059143536036538186,0.9477481
16,0.0382426730121061,0.94860244,0.05696200008425757,0.9518126
17,0.03412343802848994,0.95309854,0.055064256242084726,0.95362395
18,0.0334305421359116,0.95408875,0.052270254485796544,0.95399016
19,0.03271976827476431,0.9550064,0.05129069443269868,0.9548416
20,0.032385471890667615,0.9555567,0.05027517309917189,0.9545503
21,0.032314140156495134,0.95562154,0.05031013245058951,0.95518744
22,0.03190367303204976,0.9561481,0.048513878241320633,0.95606714
23,0.0330473150980706,0.955258,0.05273878267121928,0.9545189
24,0.03245473058233338,0.955328,0.055269896609830525,0.95526886
25,0.03287867436932254,0.95511115,0.05004219747383461,0.955582
26,0.03197608285150083,0.95625967,0.051192871704001296,0.9557266
27,0.031520558559777825,0.9567031,0.0499831582637173,0.95629495
28,0.03189710383024496,0.9561497,0.05122180327459752,0.9551914
29,0.031942973934835,0.9563148,0.050504702047627664,0.95620686
30,0.03151185168940488,0.956695,0.04676214050257874,0.95682853
31,0.030814715742652866,0.95747703,0.0469869996777901,0.9563583
32,0.03126722030032615,0.956966,0.0466151379275127,0.9565197
33,0.031066357750394104,0.95718515,0.046460647188196674,0.95686966
34,0.030822891990915972,0.9574207,0.04543704729283524,0.95703256
35,0.03071183809143607,0.95757455,0.04572375234494978,0.95686144
36,0.030762469177112877,0.9574711,0.04429192616491117,0.95734036
37,0.03795797647350395,0.95212764,0.056624953295582925,0.9474808
38,0.03798172005756934,0.95243925,0.04884083472435998,0.9509379
39,0.03209217508164694,0.9552172,0.04488134708812582,0.95687926
40,0.03058845318493343,0.9574152,0.04340195842087269,0.9573466
41,0.03024462551256204,0.9578737,0.044053573518225524,0.95731
42,0.03011054504010397,0.958038,0.04755010886692276,0.9569944
0,0.4836296216340109,0.4200915,0.2709176928222736,0.75563425
0,0.38234853880128006,0.54092413,0.13873540651853952,0.8645542
0,0.30318738942459433,0.6358796,0.1335744968502321,0.88090247
0,4.777628630262366,-4.5007463,0.8747434752566792,0.0210897
0,0.4777004306423499,0.43643925,0.19054694487669757,0.803457
0,0.3091492767226861,0.62458915,0.10481247396391129,0.90832025
0,0.37989565841681944,0.5967295,0.3240371391211993,0.76836985
1,0.19084474695030995,0.82511,0.23365474173746933,0.849553
2,0.13357831977204793,0.8777691,0.18709359658342378,0.8883781
